manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
RME,ADI-8 DS,ADI8DS|ADI 8 DS,professional rack audio equipment,eight-channel ADC/DAC; balanced line stages; clocking,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,91,160,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Tascam,DA-3000,DA3000,professional rack audio equipment,high-grade stereo ADC/DAC; balanced I/O; recorder control; clocking,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,91,170,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
TC Electronic,D-Two,D Two|D-Two Delay,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,68,85,encoder fault; display issue; noisy output,burnt PSU; water damage; no audio,medium,Rack unit; verify display/control board,Common TC processor; exact ICs verify,Often worth intact.
TC Electronic,M-One,M One|M-One XL,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,66,75,encoder fault; display fault; missing knobs,burnt PSU; water damage; no audio,medium,Rack SMD; mains caution,Common TC rack processor; exact converters verify,Good cheap rack donor.
Yamaha,SPX90,SPX-90,professional rack audio equipment,early Yamaha DSP; ADC/DAC; op-amps; transformer,ADC|standalone DAC|DSP|op-amp|transformer or mechanical salvage,probable,66,90,display fault; battery leak if contained; noisy controls,battery corrosion; burnt PSU; water damage,hard,Check battery leakage before buying,Classic rack processor; exact ICs verify,Battery damage is a major risk.
Yamaha,SPX990,SPX-990,professional rack audio equipment,DSP; ADC/DAC; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,62,75,display fault; encoder fault; missing rack ears,burnt PSU; water damage; no audio,medium,Rack SMD; verify display,Common Yamaha processor; exact chips verify,Good cheap donor.
Denon,DCD-1500AE,DCD1500AE|1500AE,SACD player,Burr-Brown PCM1791 DAC; analogue output stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,confirmed,76,100,disc-reading fault; tray fault; cosmetic damage,no audio; SACD/digital board fault; liquid damage,hard,Software-controlled DAC; complex SACD platform.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Usually better repaired unless very cheap.
Sony,SCD-XB770,SCDXB770|XB770 SACD,SACD player,SACD/CD DAC stage; transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,78,100,no disc; SACD read fault; missing remote,no sound; burnt board; water damage; missing laser,hard,SACD mechanisms can be fragile; verify complete transport,Sony SACD player class; exact DAC should be verified,May be worth more intact if working.
Sony,SCD-XE670,SCDXE670|XE670 SACD,SACD player,SACD DAC stage; transport; transformer,standalone DAC|DSP|transformer or mechanical salvage,probable,70,70,SACD read fault; tray fault; missing remote,no sound; burnt board; liquid damage,medium,Check SACD optical pickup availability,Common SACD donor; exact DAC not assumed,Cheap faulty units appear.
Cambridge Audio,Azur 650BD,650BD|Azur650BD,SACD/DVD player,multichannel DAC stage; Blu-ray/SACD circuitry; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,72,70,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Cambridge Audio,Azur 751BD,751BD|Azur751BD,SACD/DVD player,multiple Wolfson WM8740 DACs; analogue output stages; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,90,130,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Denon,DVD-2900,DVD2900,SACD/DVD player,Burr-Brown multichannel DACs; SACD/DVD-A analogue stage; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,78,65,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Denon,DVD-3910,DVD3910,SACD/DVD player,premium Burr-Brown DACs; AL24 processing; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,86,90,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Denon,DVD-3930,DVD3930,SACD/DVD player,high-grade multichannel DACs; DSP; analogue output stage,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,87,100,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Denon,DVD-5910,DVD5910,SACD/DVD player,multiple premium Burr-Brown DACs; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,94,180,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Denon,DVD-A1XV,DVDA1XV|DVD A1 XV,SACD/DVD player,multiple premium DACs; extensive analogue boards; large transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,96,200,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Marantz,SA-11S1,SA11S1,SACD/DVD player,premium multichannel/stereo DAC implementation; HDAM modules; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,95,200,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Marantz,SA7001,SA-7001,SACD/DVD player,Cirrus Logic CS4397-class DAC; HDAM output stage; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,79,80,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Marantz,SA8001,SA-8001,SACD/DVD player,Cirrus Logic CS4397-class DAC; HDAM output stage; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,83,95,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Oppo,BDP-83SE,BDP83SE|83 Special Edition,SACD/DVD player,ESS Sabre premium DAC board; upgraded analogue stage; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,92,150,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Oppo,BDP-95,BDP95,SACD/DVD player,ESS Sabre DACs; balanced output stage; toroidal transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,96,220,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Oppo,DV-970HD,DV970HD,SACD/DVD player,multichannel DAC; DVD-A/SACD circuitry; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,62,40,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Oppo,DV-981HD,DV981HD,SACD/DVD player,multichannel DAC; digital video processor; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,64,45,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Oppo,DV-983H,DV983H,SACD/DVD player,higher-grade multichannel DAC; ABT video processor; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,70,55,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Philips,DVD963SA,DVD 963 SA,SACD/DVD player,SACD DAC stage; upsampling DSP; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,76,60,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Pioneer,DV-575A,DV575A,SACD/DVD player,multiformat DAC; SACD/DVD-A decoder; op-amps; transport,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,63,35,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Pioneer,DV-656A,DV656A,SACD/DVD player,multichannel audio DACs; SACD/DVD-A circuitry; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,70,45,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Pioneer,DV-668AV,DV668AV|DV-668AV-S,SACD/DVD player,high-grade multichannel DAC stage; i.Link interface; op-amps,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,77,60,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Pioneer,DV-989AVi,DV989AVi|989 AVi,SACD/DVD player,premium multichannel DAC stage; i.Link; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,86,95,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Sony,DVP-S9000ES,DVPS9000ES|S9000ES,SACD/DVD player,SACD/DVD DAC stage; substantial PSU; transport,standalone DAC|DSP|transformer or mechanical salvage,probable,86,180,no disc; tray fault; missing remote,burnt board; water damage; missing transport,hard,Very heavy; high intact value,Sony ES SACD/DVD class; exact chips need service manual/photo,Usually worth repair intact.
Sony,SCD-XA3000ES,SCDXA3000ES|XA3000ES,SACD/DVD player,ES-series SACD DACs; premium analogue stages; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,86,110,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Sony,SCD-XA5400ES,SCDXA5400ES|XA5400ES,SACD/DVD player,premium SACD DAC/HDMI audio circuitry; analogue output stage,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,93,170,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,hard,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Sony,SCD-XB790,SCDXB790,SACD/DVD player,higher-grade SACD DAC stage; op-amps; transformer,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,72,60,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Sony,SCD-XE597,SCDXE597,SACD/DVD player,SACD-capable DAC; op-amps; transport,standalone DAC|op-amp|DSP|transformer or mechanical salvage,probable,62,40,disc-reading fault; tray fault; video-output fault; missing remote; cosmetic damage,no analogue audio; liquid damage; missing audio board; lightning damage,medium,Universal-player control is complex; preserve complete analogue boards and controller context.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Mechanical/video faults are preferable to reported audio failure.
Arcam,rDAC,r DAC|Arcam rDAC,standalone DAC,Wolfson DAC stage probable; USB receiver; op-amps,standalone DAC|op-amp,probable,72,75,missing PSU; USB fault; input selector fault,no sound; burnt board; water damage,medium,SMD compact board,Arcam rDAC commonly described with Wolfson DAC; verify board,Common UK DAC.
ASUS,Xonar Essence STU,Essence STU|Xonar STU,standalone DAC,swappable op-amps; USB receiver; headphone amplifier; DAC stage,standalone DAC|op-amp,confirmed,88,120,USB issue; missing PSU; noisy pot; broken socket,burnt board; missing DAC board; water damage,medium,Op-amps socketed per ASUS swap guide; mains/PSU caution,ASUS official op-amp swap guide confirms swappable op-amps,Usually compact and easy to ship.
Audiolab,M-DAC,MDAC|M DAC,standalone DAC,ESS Sabre DAC reported; op-amps; display/control parts,standalone DAC|op-amp,probable,86,160,display fault; encoder fault; missing PSU/remote,no output; burnt board; water damage,medium,Often worth repair intact; SMD DAC,Audiolab M-DAC widely specified as ESS Sabre; verify revision,Usually worth more intact.
Benchmark,DAC1,DAC 1|Benchmark DAC-1,standalone DAC,AD1853 DAC reported; op-amps; balanced output stage; transformer,standalone DAC|op-amp|transformer or mechanical salvage,probable,90,220,display/selector fault; noisy pot; missing rack ears,burnt board; water damage; no output,hard,High intact value; mains transformer,Benchmark DAC1 specs commonly cite AD1853; verify revision,Usually worth more intact.
Cambridge Audio,DacMagic,DacMagic 100? no|DacMagic Azur,standalone DAC,Wolfson DAC stage probable; op-amps; PSU parts,standalone DAC|op-amp,probable,72,70,missing PSU; USB fault; noisy output,no sound; burnt board; water damage,medium,External PSU models easier; SMD DAC,Common UK DAC; exact version matters,Usually worth more intact if working.
Cambridge Audio,DacMagic Plus,DacMagic+|DacMagic Plus,standalone DAC,Wolfson DAC stage probable; USB receiver; op-amps; headphone amp,standalone DAC|op-amp,probable,78,100,USB socket fault; missing PSU; noisy headphone out,burnt board; water damage; no sound,medium,SMD; verify board revision,Commonly documented Wolfson-based DACMagic family; verify exact chips,Often worth intact.
Music Hall,DAC25.2,DAC 25.2|Music Hall DAC25 2,standalone DAC,Burr-Brown PCM1796 DAC; SRC4192 sample-rate converter; analogue output stage,standalone DAC|sample-rate converter|op-amp,confirmed,86,110,USB/input fault; cosmetic damage; intermittent controls,no analogue output; water damage; parts removed,hard,PCM1796 is current-output and software controlled; retain the I/V stage design.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Good reference implementation as well as a parts donor.
Musical Fidelity,V-DAC,VDAC|V DAC,standalone DAC,DAC IC; op-amps; regulator parts,standalone DAC|op-amp,probable,65,55,missing PSU; coax/USB fault; cosmetic damage,burnt board; water damage; no output,medium,Small SMD board; external PSU,Model-specific DAC should be verified by board photo,Cheap compact DAC donor.
Musical Fidelity,V-DAC II,VDAC II|V DAC 2,standalone DAC,DAC IC; op-amps; regulator parts,standalone DAC|op-amp,probable,68,65,missing PSU; USB issue; noisy output,burnt board; water damage; no sound,medium,SMD; check PSU polarity history,Exact chip verify by photo,Often worth intact.
Musical Fidelity,X-DAC V3,X DAC V3|XDAC V3,standalone DAC,DAC stage; op-amps; PSU parts,standalone DAC|op-amp,probable,76,100,missing PSU; input fault; cosmetic damage,burnt board; water damage; no output,medium,Cylindrical case; careful disassembly,Musical Fidelity DAC class; exact IC verify,Can be collectible intact.
Musical Fidelity,X-DAC V8,XDAC V8|X DAC V8,standalone DAC,Burr-Brown DSD1792 DAC; SRC4392; PCM2706 USB interface; analogue stage,standalone DAC|sample-rate converter|USB audio interface|op-amp,confirmed,84,120,USB input fault; display/indicator fault; cosmetic damage,no analogue output; liquid damage; missing PCB,hard,Useful as a complete digital-audio subsystem donor.,https://www.dutchaudioclassics.nl/the_complete_d_a_dac_converter_list/,Often worth repairing.
Alesis,iO26,IO26|Alesis IO 26,studio audio interface,eight-channel ADC/DAC; mic preamps; FireWire controller,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,70,60,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Alesis,MultiMix 16 FireWire,Multimix16 FW|MultiMix 16FW,studio audio interface,multichannel ADC; stereo DAC; mixer op-amps; FireWire interface,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,65,55,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Digidesign,Digi 002 Rack,Digi002R|002 Rack,studio audio interface,multichannel ADC/DAC; mic preamps; balanced stages; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,72,70,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Digidesign,Digi 003 Rack,Digi003R|003 Rack,studio audio interface,multichannel ADC/DAC; preamps; balanced drivers; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,76,85,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
E-MU,0202 USB,EMU 0202|E MU 0202 USB,studio audio interface,stereo ADC/DAC; headphone amp; USB interface; op-amps,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,61,35,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
E-MU,0404 USB,EMU 0404 USB|E MU 0404 USB,studio audio interface,high-quality stereo ADC/DAC; balanced line stages; headphone amp,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,74,55,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
E-MU,1820M,EMU 1820M|E MU 1820M,studio audio interface,mastering-grade ADC/DAC; MicroDock op-amps; balanced drivers; clock circuitry,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,88,110,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Echo,AudioFire 12,Audiofire12|Echo AF12,studio audio interface,12-channel ADC/DAC; balanced line drivers/receivers; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,82,95,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Echo,AudioFire 4,Audiofire4|Echo AF4,studio audio interface,ADC/DAC; mic preamps; balanced output stages; FireWire interface,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,70,55,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Echo,AudioFire 8,Audiofire8|Echo AF8,studio audio interface,multichannel ADC/DAC; balanced line drivers; clocking,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,75,70,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Echo,Gina 3G,Gina3G|Echo Gina,studio audio interface,ADC/DAC breakout box; balanced analogue stages; PCI interface,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,73,60,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Echo,Layla 3G,Layla3G|Echo Layla,studio audio interface,rack ADC/DAC; balanced line stages; PCI interface,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,79,80,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Edirol,FA-66,FA66|Roland FA-66,studio audio interface,ADC/DAC; mic preamps; op-amps; FireWire controller,ADC|standalone DAC|op-amp,probable,60,50,FireWire issue; missing PSU; noisy pot,burnt FireWire chip; water damage; no sound,medium,Check PSU and FireWire section,Common legacy interface; exact IC verify,Good cheap donor.
Edirol,UA-25,UA25|Roland UA-25,studio audio interface,ADC/DAC; mic preamp op-amps; USB controller,ADC|standalone DAC|op-amp,probable,55,40,driver issue; noisy pots; USB socket fault,burnt board; water damage; no USB,easy,Metal case; small SMD board,Common interface; exact chips verify,Often reliable intact.
Focusrite,Liquid Saffire 56,LS56|LiquidSaffire56,studio audio interface,eight-channel ADC/DAC; Liquid preamp DSP; balanced drivers,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,82,95,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,hard,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Focusrite,Saffire Pro 24,Saffire Pro24|Pro 24 DSP,studio audio interface,ADC/DAC; mic preamp op-amps; FireWire controller,ADC|standalone DAC|op-amp|DSP,probable,65,55,FireWire compatibility issue; missing PSU; noisy pot,burnt FireWire port; no sound; water damage,medium,Surface-mount; check PSU damage,Common interface; exact converters verify by board,Often cheap due FireWire.
Focusrite,Saffire Pro 40,Saffire Pro40|Pro 40,studio audio interface,multiple ADC/DAC; mic preamps; op-amps; clocking,ADC|standalone DAC|op-amp,probable,72,80,FireWire issue; missing PSU; noisy preamp,burnt PSU; water damage; no audio,medium,Rack-ish unit; many analogue channels,Common studio interface; exact converter chips verify,May be worth intact for legacy users.
Focusrite,Scarlett 18i20 1st Gen,Scarlett 18i20 mk1|18i20,studio audio interface,multiple ADC/DAC; mic preamps; op-amps; PSU,ADC|standalone DAC|op-amp,probable,68,80,USB issue; noisy preamp; missing rack ears,burnt PSU; no boot; water damage,medium,Many channels; mains PSU caution,Common studio interface; verify converter chips,Often worth repair if complete.
Focusrite,Scarlett 18i20 2nd Gen,18i20 Gen2|Scarlett 18i20 MK2,studio audio interface,multichannel ADC/DAC; eight mic preamps; balanced drivers,ADC|standalone DAC|op-amp|balanced line driver|USB/FireWire audio interface,probable,75,90,obsolete driver support; FireWire compatibility issue; damaged socket; cosmetic damage,no analogue audio; phantom-power damage; liquid ingress; missing breakout/rack unit,medium,Dense multilayer boards; converter and line-stage sections are usually easier to reuse as complete subassemblies.,https://www.soundonsound.com/,Old FireWire units can be excellent donors because software obsolescence depresses prices.
Focusrite,Scarlett 2i2 1st Gen,Scarlett 2i2|2i2 mk1,studio audio interface,combined USB audio codec/converters; mic preamp op-amps; pots,combined codec|ADC|standalone DAC|op-amp,probable,45,25,USB socket fault; noisy pot; missing knobs,burnt board; water damage; no USB enumeration,easy,Mostly low-value parts; USB jack/pots useful,Common interface; exact IC revision varies,Only buy very cheaply.
